record,apuntador,fecha,transecto,direcion,placa,x_m,y_m,x_coord,y_coord,species,species_2,circ_cm,y04,y05,y06,y07,y08,y09,y10,y11,y12,y13,y14,y15,y16,sampled,
1676,jorge,14-Jun-04,7,i,1682,195.7,0.6,195.7,129.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,190.7,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1633,jorge,14-Jun-04,7,d,1641,59.4,4.9,59.4,134.9,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1741,jorge,14-Jun-04,7,d,1747,295.7,5.6,295.7,135.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,91.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1684,jorge,14-Jun-04,7,d,1690,195.2,8.6,195.2,138.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7452,jorge,1 septiembre 2004,33,i,7428,52.1,2.2,-52.1,147.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,124,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
1952,jorge,16-Jun-04,8,i,1958,300,2,300,148,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2237,jorge,21 junio 2004,9,i,2231,300,7.2,300,162.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,163.3,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7700,jorge,7 septiembre 2004,35,i,7758,93.9,7.2,-93.9,182.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,190,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2570,jorge,22 junio 2004,10,i,2541,47,6.4,47,183.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,87.6,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7695,jorge,7 septiembre 2004,35,i,7755,81,1.9,-81,188.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2539,jorge,22 junio 2004,10,d,2573,148.6,1.1,148.6,191.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,180,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7841,jorge,9 septiembre 2004,36,i,7917,157,6.5,-157,203.5,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,66,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7820,jorge,9 septiembre 2004,36,d,7830,123.7,0,-123.7,210,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,159.8,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7832,jorge,9 septiembre 2004,36,i,7913,141.7,0,-141.7,210,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,75,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2716,jorge,23 junio 04,11,d,2718,7.5,0.5,7.5,210.5,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,111,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7817,jorge,9 septiembre 2004,36,d,7828,116.2,4,-116.2,214,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7829,jorge,9 septiembre 2004,36,d,7834,135.4,5.2,-135.4,215.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,62,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
3079,jorge,28-Jun-04,12,i,3087,129,0.7,129,229.3,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,196.8,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7968,jorge,9 septiembre 2004,37,i,7981,152,0,-152,230,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,110,0,0,0,0,0,1,2,0,0,0,0,0,0,no,
7991,jorge,9 septiembre 2004,37,d,14,190.8,1.2,-190.8,231.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
3140,jorge,28-Jun-04,12,d,3148,298,3.4,298,233.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7960,jorge,9 septiembre 2004,37,d,7899,142,4,-142,234,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,85.3,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
7963,jorge,9 septiembre 2004,37,d,7900,144,5.5,-144,235.5,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,138.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8140,jorge,14 septiembre 2004,38,i,158,231.7,8.6,-231.7,241.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,90,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
3369,jorge,29-Jun-04,13,i,3379,298.9,1.3,298.9,248.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,113.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8146,jorge,14 septiembre 2004,38,i,161,236.6,1.3,-236.6,248.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,122,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8124,jorge,14 septiembre 2004,38,i,150,213,0.4,-213,249.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,45,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8041,jorge,14 septiembre 2004,38,d,56,31.5,2.1,-31.5,252.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,120,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
3335,jorge,29-Jun-04,13,d,3345,119,3.4,119,253.4,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,129.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8126,jorge,14 septiembre 2004,38,d,93,218.6,4,-218.6,254,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,46,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8035,jorge,14 septiembre 2004,38,d,52,18.4,8.8,-18.4,258.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,114.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8109,jorge,14 septiembre 2004,38,d,85,191.1,9.6,-191.1,259.6,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,44,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8275,jorge,14 septiembre 2004,39,i,329,241.7,4.3,-241.7,265.7,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,94.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
3515,jorge,30-Jun-04,14,i,3525,299.1,3.2,299.1,266.8,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,136.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8294,jorge,14 septiembre 2004,39,d,274,254,8.1,-254,278.1,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
3652,jorge,7 julio 2004,15,i,3727,109.9,0.7,109.9,289.3,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,178,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
8487,jorge,15 septiembre 2004,41,i,534,47.5,6.8,-47.5,303.2,"Albizia sp = plumajillo""""""lbizia sp =""",Albizia_sp_plumajillo,73,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
